length,count
1,1394
2,5419
3,12787
4,18274
5,17394
6,12827
7,8631
8,8603
9,6279
10,5648
11,5399
12,3526
13,1620
14,1600
15,1182
16,1085
17,682
18,812
19,541
20,548
21,433
22,385
23,298
24,405
25,232
26,263
27,207
28,246
29,166
30,274
31,153
32,177
33,161
34,123
35,117
36,138
37,95
38,142
39,95
40,86
41,58
42,87
43,53
44,64
45,56
46,161
47,47
48,75
49,33
50,43
51,32
52,35
53,36
54,46
55,28
56,39
57,38
58,24
59,19
60,37
61,30
62,15
63,35
64,44
65,13
66,54
67,19
68,21
69,12
70,16
71,14
72,25
73,13
74,8
75,12
76,18
77,19
78,10
79,11
80,14
81,13
82,10
83,15
84,17
85,13
86,6
87,11
88,15
89,8
90,6
91,8
92,10
93,10
94,3
95,2
96,23
97,6
98,6
99,4
100,11
101,7
102,5
103,9
104,3
105,7
106,6
107,5
108,9
109,1
110,6
111,6
112,6
113,3
114,6
115,2
116,5
117,8
118,4
119,3
120,1
121,1
122,5
123,9
124,7
125,6
126,9
127,2
128,5
129,5
130,16
131,1
132,11
133,10
134,7
135,3
136,1
137,3
138,1
139,2
140,1
141,2
143,5
144,2
145,3
146,1
147,4
149,3
150,1
151,4
152,1
153,3
154,2
155,4
156,2
157,1
159,1
160,2
161,3
162,7
164,14
166,1
168,1
169,1
170,3
171,4
172,1
173,2
174,2
175,2
177,1
179,1
180,1
181,4
186,1
188,1
189,1
190,1
193,1
194,2
195,4
197,1
198,5
199,8
200,1
201,1
202,1
203,1
205,1
207,2
208,1
212,1
213,2
215,2
216,2
218,2
222,2
225,1
228,1
229,12
231,1
232,1
235,35
238,1
240,1
243,1
244,1
250,1
255,1
256,1
257,1
264,3
269,1
275,1
276,1
278,1
281,1
286,1
294,1
295,1
300,1
305,1
306,2
311,1
313,2
315,1
319,1
324,1
343,1
361,1
365,1
373,1
377,1
393,1
399,1
401,1
402,5
421,1
428,2
446,1
463,1
482,1
490,1
513,1
516,1
530,1
539,1
550,1
576,1
584,1
587,1
600,1
620,1
649,1
670,1
678,1
695,1
848,1
952,1
996,1
1102,1
1155,1
1175,1
1498,1
1648,1
1827,1
2064,1
2346,1
2603,1
3439,1
3532,1
3534,1
4037,1
4828,1
5745,1
7894,1
8765,1
