repo_slug,file_path,n_distinct_rq1_patterns,top_pattern_recurrence,template_fraction,is_spec_suite_v3
local-web-services_local-web-services,lang/specification/core/informal/memorydb/sequences.feature,3591,1740,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/elasticache/sequences.feature,4454,1512,0.9717108217332735,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/sequences.feature,3111,1512,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda/sequences.feature,4268,1300,0.9988284910965324,True
local-web-services_local-web-services,lang/specification/core/informal/apigateway/sequences.feature,3308,840,0.0,True
local-web-services_local-web-services,lang/specification/core/informal/dynamodb/sequences.feature,2408,760,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/cognito_idp/sequences.feature,3348,760,0.9982078853046595,True
local-web-services_local-web-services,lang/specification/core/informal/docdb/sequences.feature,2048,760,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/rds/sequences.feature,1129,684,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/s3tables/sequences.feature,1375,684,0.0,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions/sequences.feature,1205,684,0.0,True
local-web-services_local-web-services,lang/specification/core/informal/opensearch/sequences.feature,1377,612,0.9898329702251271,True
local-web-services_local-web-services,lang/specification/core/informal/s3api/sequences.feature,1023,420,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events/sequences.feature,1617,420,0.9993815708101422,True
keygen-sh_keygen-api,features/api/v1/licenses/actions/validations.feature,5353,379,0.0,True
local-web-services_local-web-services,lang/specification/core/informal/glacier/sequences.feature,1197,364,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/elasticsearch/sequences.feature,763,364,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/ssm/sequences.feature,596,264,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/secretsmanager/sequences.feature,1238,264,0.0016155088852988692,True
local-web-services_local-web-services,lang/specification/core/informal/sqs/sequences.feature,360,180,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/sns/sequences.feature,529,180,1.0,True
DataDog_datadog-api-client-typescript,features/v2/security_monitoring.feature,684,177,0.0,True
DataDog_datadog-api-client-ruby,features/v2/security_monitoring.feature,684,177,0.0,True
DataDog_datadog-api-client-rust,tests/scenarios/features/v2/security_monitoring.feature,684,177,0.0,True
DataDog_datadog-api-client-python,tests/v2/features/security_monitoring.feature,684,177,0.0,True
DataDog_datadog-api-client-go,tests/scenarios/features/v2/security_monitoring.feature,684,177,0.0,True
keygen-sh_keygen-api,features/api/v1/licenses/create.feature,2731,153,0.0,True
local-web-services_local-web-services,lang/specification/core/informal/organizations/sequences.feature,536,144,0.9720149253731343,True
keygen-sh_keygen-api,features/api/v1/machines/create.feature,2574,131,0.0,True
DataDog_datadog-api-client-ruby,features/v1/dashboards.feature,395,128,0.0,True
DataDog_datadog-api-client-go,tests/scenarios/features/v1/dashboards.feature,395,128,0.0,True
DataDog_datadog-api-client-rust,tests/scenarios/features/v1/dashboards.feature,395,128,0.0,True
DataDog_datadog-api-client-typescript,features/v1/dashboards.feature,395,128,0.0,True
DataDog_datadog-api-client-python,tests/v1/features/dashboards.feature,395,128,0.0,True
keygen-sh_keygen-api,features/api/v1/policies/create.feature,946,121,0.0,True
local-web-services_local-web-services,lang/specification/core/informal/events_dynamodb/sequences.feature,214,112,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_events/sequences.feature,211,112,0.8815165876777251,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_sqs/sequences.feature,294,112,0.9965986394557823,True
link-it_govway,protocolli/modipa/testsuite/src/org/openspcoop2/core/protocolli/modipa/testsuite/rest/sicurezza_messaggio/proxy.feature,4205,111,0.0,True
DataDog_datadog-api-client-python,tests/v2/features/incidents.feature,508,110,0.0,True
DataDog_datadog-api-client-ruby,features/v2/incidents.feature,508,110,0.0,True
DataDog_datadog-api-client-rust,tests/scenarios/features/v2/incidents.feature,508,110,0.0,True
DataDog_datadog-api-client-go,tests/scenarios/features/v2/incidents.feature,508,110,0.0,True
DataDog_datadog-api-client-typescript,features/v2/incidents.feature,508,110,0.0,True
keygen-sh_keygen-api,features/api/v1/licenses/index.feature,814,103,0.0,True
typedb_typedb-behaviour,concept/type/relationtype.feature,2939,102,0.0,True
typedb_typedb-behaviour,query/language/define.feature,210,101,0.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_rds/sequences.feature,165,84,0.9939393939393939,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_opensearch/sequences.feature,148,84,0.8918918918918919,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_opensearch/sequences.feature,181,84,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/glacier_sns/sequences.feature,174,84,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_docdb/sequences.feature,153,84,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_elasticsearch/sequences.feature,148,84,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_s3tables/sequences.feature,150,84,0.9666666666666667,True
local-web-services_local-web-services,lang/specification/core/informal/cognito_lambda/sequences.feature,224,84,0.96875,True
local-web-services_local-web-services,lang/specification/core/informal/dynamodb_lambda/sequences.feature,217,84,0.9953917050691244,True
local-web-services_local-web-services,lang/specification/core/informal/elasticache_sns/sequences.feature,153,84,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/apigateway_cognito/sequences.feature,262,84,0.9465648854961832,True
local-web-services_local-web-services,lang/specification/core/informal/aws_fake/sequences.feature,160,84,0.60625,True
local-web-services_local-web-services,lang/specification/core/informal/apigateway_s3api/sequences.feature,159,84,0.9056603773584906,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_elasticache/sequences.feature,157,84,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_memorydb/sequences.feature,153,84,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_neptune/sequences.feature,153,84,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_elasticsearch/sequences.feature,148,84,0.8918918918918919,True
local-web-services_local-web-services,lang/specification/core/informal/secretsmanager_lambda/sequences.feature,161,84,0.9006211180124224,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_s3api/sequences.feature,146,84,0.7602739726027398,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_stepfunctions/sequences.feature,140,84,0.9428571428571428,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_lambda/sequences.feature,212,84,0.6462264150943396,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_memorydb/sequences.feature,153,84,0.8954248366013072,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_neptune/sequences.feature,153,84,0.8954248366013072,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_elasticache/sequences.feature,153,84,0.7908496732026143,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_docdb/sequences.feature,153,84,0.9607843137254902,True
local-web-services_local-web-services,lang/specification/core/informal/s3api_lambda/sequences.feature,117,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/s3api_sns/sequences.feature,127,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_ssm/sequences.feature,111,60,0.7117117117117117,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_secretsmanager/sequences.feature,111,60,0.7477477477477478,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_glacier/sequences.feature,111,60,0.8558558558558559,True
local-web-services_local-web-services,lang/specification/core/informal/s3api_events/sequences.feature,116,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/s3api_sqs/sequences.feature,127,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_s3api/sequences.feature,107,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_secretsmanager/sequences.feature,111,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_dynamodb/sequences.feature,107,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_glacier/sequences.feature,111,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_events/sequences.feature,111,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_cognito/sequences.feature,111,60,0.963963963963964,True
local-web-services_local-web-services,lang/specification/core/informal/apigateway_lambda/sequences.feature,146,60,0.9383561643835616,True
local-web-services_local-web-services,lang/specification/core/informal/cognito_events/sequences.feature,116,60,0.9827586206896551,True
local-web-services_local-web-services,lang/specification/core/informal/docdb_events/sequences.feature,116,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/apigateway_dynamodb/sequences.feature,128,60,0.953125,True
local-web-services_local-web-services,lang/specification/core/informal/apigateway_sns/sequences.feature,127,60,0.952755905511811,True
local-web-services_local-web-services,lang/specification/core/informal/fake/sequences.feature,112,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events_lambda/sequences.feature,142,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events_stepfunctions/sequences.feature,146,60,0.9452054794520548,True
local-web-services_local-web-services,lang/specification/core/informal/cloudtrail/sequences.feature,222,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_ssm/sequences.feature,109,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/sns_lambda/sequences.feature,144,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/rds_lambda/sequences.feature,117,60,0.9914529914529915,True
local-web-services_local-web-services,lang/specification/core/informal/secretsmanager_events/sequences.feature,116,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_dynamodb/sequences.feature,114,60,0.8596491228070176,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_sns/sequences.feature,107,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/rds_events/sequences.feature,116,60,0.9482758620689655,True
local-web-services_local-web-services,lang/specification/core/informal/neptune_events/sequences.feature,116,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda_sqs_producer/sequences.feature,108,60,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/apigateway_sqs/sequences.feature,90,40,0.7444444444444445,True
local-web-services_local-web-services,lang/specification/core/informal/events_sns/sequences.feature,90,40,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/ssm_events/sequences.feature,73,40,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_sqs/sequences.feature,87,40,0.632183908045977,True
local-web-services_local-web-services,lang/specification/core/informal/sns_sqs/sequences.feature,95,40,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/stepfunctions_sns/sequences.feature,87,40,0.8160919540229885,True
local-web-services_local-web-services,lang/specification/core/informal/events_sqs/sequences.feature,75,40,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/chaos/sequences.feature,112,24,0.7232142857142857,True
CDCgov_NEDSS-Modernization,apps/modernization-api/src/test/resources/features/patient/search/PatientSearch.name.sorting.feature,248,16,0.8911290322580645,True
kiali_kiali,frontend/cypress/integration/featureFiles/waypoint.feature,259,13,0.6177606177606177,True
local-web-services_local-web-services,lang/specification/core/informal/cloudformation/sequences.feature,59,12,1.0,True
CDCgov_NEDSS-Modernization,apps/modernization-api/src/test/resources/features/patient/search/PatientSearch.last-name-operator.feature,69,10,0.30434782608695654,True
CDCgov_NEDSS-Modernization,apps/modernization-api/src/test/resources/features/patient/search/PatientSearch.feature,202,10,0.5,True
local-web-services_local-web-services,lang/specification/core/informal/events/put_events.feature,79,8,1.0,True
CDCgov_NEDSS-Modernization,apps/question-bank/src/test/resources/features/page/summary/search/PageSummarySearch.filtering.lastUpdatedOn.feature,221,8,0.8552036199095022,True
kiali_kiali,frontend/cypress/integration/featureFiles/istio_config.feature,79,8,0.4936708860759494,True
local-web-services_local-web-services,lang/specification/core/informal/elasticache/failover_replication_group.feature,54,7,0.9259259259259259,True
DarkmiraTour_community-event-manager,features/event.feature,81,6,0.7037037037037037,True
local-web-services_local-web-services,lang/specification/core/informal/lambda/process_async_exhausted.feature,55,6,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/promote_replica_to_primary.feature,70,6,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/docdb/failover.feature,60,6,1.0,True
kiali_kiali,frontend/cypress/integration/featureFiles/graph_display.feature,61,6,0.39344262295081966,True
local-web-services_local-web-services,lang/specification/core/informal/docdb/complete_instance_deletion.feature,54,5,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/complete_instance_deletion.feature,64,5,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events/delete_event_bus.feature,65,5,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events/remove_targets.feature,56,5,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/modify_d_b_instance.feature,64,4,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/multi_a_z_failover.feature,56,4,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events/delete_rule.feature,62,4,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/reboot_d_b_instance.feature,66,4,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/delete_d_b_cluster.feature,55,4,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/create_d_b_instance.feature,55,4,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events/list_targets_by_rule.feature,52,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events/put_rule.feature,63,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events/describe_rule.feature,58,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/complete_cluster_stop.feature,55,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/complete_cluster_creation.feature,55,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/events/put_targets.feature,52,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/lambda/create_event_source_mapping.feature,54,3,0.9444444444444444,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/complete_cluster_deletion.feature,55,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/stop_d_b_cluster.feature,55,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/fail_cluster_creation.feature,54,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/modify_d_b_cluster.feature,55,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/complete_cluster_restore.feature,54,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/complete_cluster_start.feature,55,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/automated_backup_window.feature,53,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/complete_cluster_modification.feature,54,3,1.0,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/start_d_b_cluster.feature,55,3,1.0,True
CDCgov_NEDSS-Modernization,apps/question-bank/src/test/resources/features/page/summary/search/PageSummarySearch.sorting.last-updated-by.feature,65,2,0.9230769230769231,True
CDCgov_NEDSS-Modernization,apps/question-bank/src/test/resources/features/page/summary/search/PageSummarySearch.sorting.last-updated-on.feature,65,2,0.9230769230769231,True
local-web-services_local-web-services,lang/specification/core/informal/neptune/create_d_b_cluster.feature,53,2,1.0,True
